,intolerance,num_agents,Run,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B),Avg pct similar neighbors (B) (count empty),Avg pct similar neighbors (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct Happy,Pct Happy Group A,Pct Happy Group B,height,width,minority_pc
0,0.125,350,0,53.8,61.5,53.9,42.2,36.8,47.0,350,210,140,100.0,100.0,100.0,20,20,0.4
1,0.125,350,1,53.6,61.3,53.8,42.0,37.1,47.1,350,210,140,100.0,100.0,100.0,20,20,0.4
2,0.125,350,2,54.9,62.1,54.2,44.4,39.6,48.4,350,210,140,100.0,100.0,100.0,20,20,0.4
3,0.125,350,3,54.3,62.0,54.5,42.8,37.6,47.8,350,210,140,100.0,100.0,100.0,20,20,0.4
4,0.125,350,4,51.2,59.7,52.6,38.1,32.9,44.8,350,210,140,100.0,100.0,100.0,20,20,0.4
5,0.125,350,5,52.8,61.0,53.6,40.4,35.4,46.3,350,210,140,100.0,100.0,100.0,20,20,0.4
6,0.125,350,6,55.5,62.7,54.8,44.9,40.0,48.9,350,210,140,100.0,100.0,100.0,20,20,0.4
7,0.125,350,7,53.0,60.5,52.6,41.9,37.2,46.5,350,210,140,100.0,100.0,100.0,20,20,0.4
8,0.125,350,8,52.7,61.0,53.9,39.9,34.5,46.1,350,210,140,100.0,100.0,100.0,20,20,0.4
9,0.125,350,9,50.7,59.1,52.0,38.1,33.3,44.5,350,210,140,100.0,100.0,100.0,20,20,0.4
10,0.25,340,10,56.6,62.5,51.7,48.5,43.8,48.5,340,204,136,100.0,100.0,100.0,20,20,0.4
11,0.25,340,11,60.4,66.9,56.7,50.9,43.7,51.5,340,204,136,100.0,100.0,100.0,20,20,0.4
12,0.25,340,12,57.6,63.2,52.5,49.9,45.7,49.7,340,204,136,100.0,100.0,100.0,20,20,0.4
13,0.25,340,13,58.5,65.1,55.6,48.9,42.8,50.5,340,204,136,100.0,100.0,100.0,20,20,0.4
14,0.25,340,14,55.1,61.5,51.0,46.2,41.5,47.2,340,204,136,100.0,100.0,100.0,20,20,0.4
15,0.25,340,15,59.6,64.9,53.4,52.3,47.3,51.0,340,204,136,100.0,100.0,100.0,20,20,0.4
16,0.25,340,16,58.7,65.2,55.1,49.2,42.8,50.2,340,204,136,100.0,100.0,100.0,20,20,0.4
17,0.25,340,17,59.1,64.9,54.4,50.9,45.7,50.9,340,204,136,100.0,100.0,100.0,20,20,0.4
18,0.25,340,18,59.8,65.7,54.7,51.6,45.7,51.1,340,204,136,100.0,100.0,100.0,20,20,0.4
19,0.25,340,19,58.6,64.3,53.7,50.8,46.2,50.7,340,204,136,100.0,100.0,100.0,20,20,0.4
20,0.375,330,20,78.0,81.2,66.5,73.5,64.9,65.9,330,198,132,100.0,100.0,100.0,20,20,0.4
21,0.375,330,21,78.5,81.7,67.2,74.1,65.2,66.4,330,198,132,100.0,100.0,100.0,20,20,0.4
22,0.375,330,22,81.6,83.4,64.3,79.3,74.5,68.4,330,198,132,100.0,100.0,100.0,20,20,0.4
23,0.375,330,23,74.9,78.3,63.9,70.3,62.9,63.5,330,198,132,100.0,100.0,100.0,20,20,0.4
24,0.375,330,24,78.9,81.5,66.3,75.5,69.6,67.6,330,198,132,100.0,100.0,100.0,20,20,0.4
25,0.375,330,25,79.6,82.7,66.8,75.3,65.6,66.3,330,198,132,100.0,100.0,100.0,20,20,0.4
26,0.375,330,26,75.8,79.2,64.6,71.0,62.3,63.7,330,198,132,100.0,100.0,100.0,20,20,0.4
27,0.375,330,27,80.3,82.8,66.0,76.9,69.5,67.4,330,198,132,100.0,100.0,100.0,20,20,0.4
28,0.375,330,28,79.9,83.4,71.7,74.5,62.5,68.0,330,198,132,100.0,100.0,100.0,20,20,0.4
29,0.375,330,29,78.3,81.0,63.6,74.9,68.0,65.4,330,198,132,100.0,100.0,100.0,20,20,0.4
30,0.5,320,30,94.7,95.5,83.9,93.5,84.8,84.2,320,192,128,100.0,100.0,100.0,20,20,0.4
31,0.5,320,31,92.6,93.9,85.0,90.5,80.5,83.2,320,192,128,100.0,100.0,100.0,20,20,0.4
32,0.5,320,32,92.7,93.9,82.8,90.7,80.4,81.8,320,192,128,100.0,100.0,100.0,20,20,0.4
33,0.5,320,33,91.1,92.3,81.6,89.2,80.6,81.2,320,192,128,99.4,100.0,98.4,20,20,0.4
34,0.5,320,34,94.4,95.3,85.2,93.2,87.0,85.9,320,192,128,100.0,100.0,100.0,20,20,0.4
35,0.5,320,35,94.9,95.6,82.8,93.8,85.5,83.9,320,192,128,100.0,100.0,100.0,20,20,0.4
36,0.5,320,36,92.9,94.0,83.2,91.4,84.7,83.8,320,192,128,99.1,100.0,97.7,20,20,0.4
37,0.5,320,37,94.0,94.9,86.8,92.5,82.0,84.9,320,192,128,100.0,100.0,100.0,20,20,0.4
38,0.5,320,38,94.0,95.1,86.7,92.2,79.4,83.8,320,192,128,100.0,100.0,100.0,20,20,0.4
39,0.5,320,39,94.7,95.5,83.1,93.5,81.7,82.5,320,192,128,100.0,100.0,100.0,20,20,0.4
40,0.625,310,40,88.1,90.6,78.8,83.7,62.8,72.4,310,186,124,69.4,76.9,58.1,20,20,0.4
41,0.625,310,41,87.9,90.7,79.9,83.0,62.8,73.1,310,186,124,71.3,80.6,57.3,20,20,0.4
42,0.625,310,42,90.8,92.4,80.4,88.2,70.9,76.6,310,186,124,77.4,81.7,71.0,20,20,0.4
43,0.625,310,43,89.2,91.4,80.7,85.5,67.1,75.3,310,186,124,75.5,84.4,62.1,20,20,0.4
44,0.625,310,44,84.5,87.6,75.1,79.5,63.7,70.6,310,186,124,69.7,76.3,59.7,20,20,0.4
45,0.625,310,45,89.8,91.9,80.6,86.2,66.5,75.0,310,186,124,75.8,81.7,66.9,20,20,0.4
46,0.625,310,46,87.6,88.9,75.6,85.6,67.5,72.4,310,186,124,68.4,73.1,61.3,20,20,0.4
47,0.625,310,47,87.5,90.1,76.8,83.4,64.7,72.0,310,186,124,72.6,78.5,63.7,20,20,0.4
48,0.625,310,48,85.4,87.8,75.7,81.4,62.9,70.6,310,186,124,68.4,73.1,61.3,20,20,0.4
49,0.625,310,49,86.4,89.0,77.8,81.8,60.7,70.9,310,186,124,71.6,80.6,58.1,20,20,0.4
50,0.75,300,50,55.0,62.8,47.9,43.0,31.8,41.5,300,180,120,12.0,18.9,1.7,20,20,0.4
51,0.75,300,51,56.3,62.1,48.0,47.2,34.5,42.6,300,180,120,10.3,15.6,2.5,20,20,0.4
52,0.75,300,52,55.3,62.8,46.8,43.9,32.7,41.2,300,180,120,10.7,16.7,1.7,20,20,0.4
53,0.75,300,53,54.0,62.5,47.6,40.7,29.9,40.5,300,180,120,6.7,10.6,0.8,20,20,0.4
54,0.75,300,54,51.8,58.6,44.2,41.4,30.5,38.8,300,180,120,8.3,13.3,0.8,20,20,0.4
55,0.75,300,55,54.3,62.9,48.3,40.7,29.5,40.8,300,180,120,12.7,17.8,5.0,20,20,0.4
56,0.75,300,56,56.0,64.1,48.8,43.4,31.7,41.9,300,180,120,12.0,17.8,3.3,20,20,0.4
57,0.75,300,57,52.9,59.6,44.3,42.8,31.8,39.3,300,180,120,10.0,15.6,1.7,20,20,0.4
58,0.75,300,58,55.8,64.1,49.2,42.8,31.7,42.2,300,180,120,13.0,19.4,3.3,20,20,0.4
59,0.75,300,59,56.9,63.6,48.7,46.7,35.0,43.2,300,180,120,18.3,27.8,4.2,20,20,0.4
